"","new.cap.time","unique.cons.time","unique.den"
"1",69.29778,77.25556,14
"2",83.64223,87.17661,15
"3",94.58667,99.83453,16
"4",111.2756,119.1543,19
"5",137.1089,142.1954,23
"6",144.2978,152.9743,24
"7",156.6978,156.7593,26
"8",168.9422,171.1325,25
"9",173.82,173.8841,25
