"","new.cap.time","unique.cons.time","unique.den"
"1",46.99778,63.4104,11
"2",73.34222,79.38668,13
"3",104.2089,108.957,18
"4",113.92,119.4212,19
"5",130.72,138.6438,22
"6",152.9422,157.624,25
"7",166.9644,171.3866,27
"8",173.1867,178.2309,27
