"","new.cap.time","unique.cons.time","unique.den"
"1",20.14222,25.62241,4
"2",92.35333,100.994,18
"3",115.3644,121.9299,21
"4",129.9867,135.7341,23
"5",144.4978,151.1263,25
"6",156.8533,161.5247,26
"7",164.0422,168.6815,26
"8",172.3756,177.2974,27
"9",178.5978,183.6146,27
