"","new.cap.time","unique.cons.time","unique.den"
"1",41.77556,45.4917,8
"2",57.15334,72.84358,12
"3",74.56445,97.66977,14
"4",123.4867,104.4686,16
"5",123.4867,121.5887,18
"6",123.4867,132.0325,19
"7",132.1089,147.9042,20
"8",157.22,154.1464,22
"9",157.22,171.1778,24
"10",179.1644,177.721,25
