"","new.cap.time","unique.cons.time","unique.den"
"1",41.77556,77.40468,14
"2",91.25333,100.72,18
"3",123.4867,127.6865,22
"4",132.1089,142.2925,24
"5",157.22,165.8423,28
"6",179.1644,188.9954,31
