"","new.cap.time","unique.cons.time","unique.den"
"1",58.90889,76.7703,14
"2",93.55334,106.8602,19
"3",113.6756,120.389,21
"4",129.9756,137.4636,23
"5",143.1422,148.5651,24
"6",154.2311,167.0059,27
"7",173.7311,180.8541,29
